"The recipe","Source file count","Source file changed count","Cumulative scanning time","99th percentile scanning time","Max scanning time","Cumulative edit time","99th percentile edit time","Max edit time"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.config.CompositeRecipe","366","278","0","0.0","0","70228","0.99","13114"
"org.openrewrite.java.migrate.net.MigrateMulticastSocketGetTTLToGetTimeToLive","366","278","0","0.0","0","38927","0.99","871"
"org.openrewrite.java.migrate.UpgradeToJava6","366","278","0","0.0","0","28725","0.99","1031"
"org.openrewrite.java.migrate.UpgradeToJava7","366","278","0","0.0","0","33582","0.99","792"
"org.openrewrite.java.migrate.UpgradeToJava17","366","278","0","0.0","0","29453","0.99","882"
"org.openrewrite.java.migrate.jakarta.JavaxMigrationToJakarta","366","278","0","0.0","0","29871","0.99","992"
"org.openrewrite.java.migrate.UpgradeToJava8","366","278","0","0.0","0","29459","0.99","852"
"org.openrewrite.java.migrate.javax.HttpSessionInvalidate","366","278","0","0.0","0","25774749","0.99","7040851"
"org.openrewrite.maven.ChangeManagedDependencyGroupIdAndArtifactId","3660","278","0","0.0","0","12750290","0.99","1263483"
"org.openrewrite.java.migrate.sql.MigrateDriverManagerSetLogStream","366","278","0","0.0","0","507091","0.99","39955"
"org.openrewrite.java.migrate.UpgradeToJava21","366","278","0","0.0","0","47343","0.99","961"
"org.openrewrite.java.migrate.javax.MigrateAbstractTypeVisitor6To9","366","278","0","0.0","0","86031","0.99","15078"
"org.openrewrite.config.DeclarativeRecipe$PreconditionBellwether","2562","278","0","0.0","0","108903426","0.99","12128706"
"com.oracle.weblogic.rewrite.jakarta.RemovedJakartaFaces3ExpressionLanguageClasses","366","278","0","0.0","0","40582","0.99","1323"
"org.openrewrite.java.migrate.jakarta.JavaxAuthorizationMigrationToJakartaAuthorization","366","278","0","0.0","0","44766","0.99","962"
"org.openrewrite.java.migrate.JREJdbcInterfaceNewMethods","366","278","0","0.0","0","84634","0.99","1272"
"org.openrewrite.java.dependencies.ChangeDependency","19032","278","0","0.0","0","1371624981","0.99","767907880"
"org.openrewrite.java.migrate.javax.MigrateXMLEventFactoryNewInstanceToNewFactory","366","278","0","0.0","0","28971","0.99","752"
"org.openrewrite.java.migrate.RemoveIllegalSemicolons","366","278","0","0.0","0","81165960","0.99","7307756"
